,Courses
0,Advanced Selling Skills and Management (Section 1)
1,Advanced Selling Skills and Management (Section 2)
2,Business Forecasting
3,Business to Business Marketing (Section 1)
4,Business to Business Marketing (Section 2)
5,Consumer Behavior (Section 1)
6,Consumer Behavior (Section 2)
7,Corporate Banking
8,Corporate Social Responsibility (Section 1)
9,Corporate Social Responsibility (Section 2)
10,Corporate Strategy (Section 1)
11,Corporate Strategy (Section 2)
12,Current Scenario of the Indian Economy (Section 1)
13,Current Scenario of the Indian Economy (Section 2)
14,Data Analysis using Python (Section 1)
15,Data Analysis using Python (Section 2)
16,Economic Analysis of Human Resource Decision Making
17,FinTech and Financial Services
18,Fixed Income Securities
19,Integrated Marketing Communications (Section 1)
20,Integrated Marketing Communications (Section 2)
21,Investment Banking and Business Valuation (Section 1)
22,Investment Banking and Business Valuation (Section 2)
23,IT Strategy and Management in Digital Age
24,"Management Past Present, and Future (Section 1)"
25,"Management Past Present, and Future (Section 2)"
26,Managing People and Performance
27,Marketing Analytics
28,Operations Strategy for Competitive Advantage
29,Philosophy of Sustainability
30,Project Management
31,Security Analysis and Portfolio Management (Section 1)
32,Security Analysis and Portfolio Management (Section 2)
33,Six Sigma and Lean Thinking
